1.4517 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
69.5259 	EXP 	grating: autoDraw = False
69.9138 	EXP 	New trial (rep=18, index=0): None
69.9156 	DATA 	Keypress: up
69.9256 	EXP 	Fixation: autoDraw = False
69.9256 	EXP 	grating: autoDraw = False
69.9256 	EXP 	grating: ori = -2.0
69.9256 	EXP 	Fixation: autoDraw = True
70.9248 	EXP 	grating: autoDraw = True
70.9416 	EXP 	Fixation: autoDraw = False
71.2243 	EXP 	grating: autoDraw = False
71.6445 	EXP 	New trial (rep=19, index=0): None
71.6461 	DATA 	Keypress: up
71.6573 	EXP 	Fixation: autoDraw = False
71.6573 	EXP 	grating: autoDraw = False
71.6573 	EXP 	grating: ori = 3.0
71.6573 	EXP 	Fixation: autoDraw = True
72.6563 	EXP 	grating: autoDraw = True
72.6730 	EXP 	Fixation: autoDraw = False
72.9560 	EXP 	grating: autoDraw = False
73.4268 	EXP 	New trial (rep=20, index=0): None
73.4282 	DATA 	Keypress: down
73.4390 	EXP 	Fixation: autoDraw = False
73.4390 	EXP 	grating: autoDraw = False
73.4390 	EXP 	grating: ori = 0.0
73.4390 	EXP 	Fixation: autoDraw = True
74.4378 	EXP 	grating: autoDraw = True
74.4546 	EXP 	Fixation: autoDraw = False
74.7377 	EXP 	grating: autoDraw = False
75.3899 	EXP 	New trial (rep=21, index=0): None
75.3912 	DATA 	Keypress: up
75.4035 	EXP 	Fixation: autoDraw = False
75.4035 	EXP 	grating: autoDraw = False
75.4035 	EXP 	grating: ori = 0.0
75.4035 	EXP 	Fixation: autoDraw = True
76.4027 	EXP 	Fixation: autoDraw = False
76.4027 	EXP 	grating: autoDraw = True
76.7024 	EXP 	grating: autoDraw = False
77.2063 	EXP 	New trial (rep=22, index=0): None
77.2081 	DATA 	Keypress: up
77.2186 	EXP 	Fixation: autoDraw = False
77.2186 	EXP 	grating: autoDraw = False
77.2186 	EXP 	grating: ori = -3.0
77.2186 	EXP 	Fixation: autoDraw = True
78.2176 	EXP 	grating: autoDraw = True
78.2342 	EXP 	Fixation: autoDraw = False
78.5175 	EXP 	grating: autoDraw = False
78.8865 	EXP 	New trial (rep=23, index=0): None
78.8877 	DATA 	Keypress: down
78.9003 	EXP 	Fixation: autoDraw = False
78.9003 	EXP 	grating: autoDraw = False
78.9003 	EXP 	grating: ori = 0.0
78.9003 	EXP 	Fixation: autoDraw = True
79.8992 	EXP 	grating: autoDraw = True
79.9163 	EXP 	Fixation: autoDraw = False
80.1989 	EXP 	grating: autoDraw = False
80.8346 	EXP 	New trial (rep=24, index=0): None
80.8358 	DATA 	Keypress: up
80.8483 	EXP 	Fixation: autoDraw = False
80.8483 	EXP 	grating: autoDraw = False
80.8483 	EXP 	grating: ori = 4.0
80.8483 	EXP 	Fixation: autoDraw = True
81.8476 	EXP 	Fixation: autoDraw = False
81.8476 	EXP 	grating: autoDraw = True
82.1470 	EXP 	grating: autoDraw = False
82.6833 	EXP 	New trial (rep=25, index=0): None
82.6847 	DATA 	Keypress: down
82.6965 	EXP 	Fixation: autoDraw = False
82.6965 	EXP 	grating: autoDraw = False
82.6965 	EXP 	grating: ori = 2.0
82.6965 	EXP 	Fixation: autoDraw = True
83.6955 	EXP 	grating: autoDraw = True
83.7123 	EXP 	Fixation: autoDraw = False
83.9953 	EXP 	grating: autoDraw = False
84.3486 	EXP 	New trial (rep=26, index=0): None
84.3501 	DATA 	Keypress: down
84.3617 	EXP 	Fixation: autoDraw = False
84.3617 	EXP 	grating: autoDraw = False
84.3617 	EXP 	grating: ori = 0.0
84.3617 	EXP 	Fixation: autoDraw = True
85.3606 	EXP 	grating: autoDraw = True
85.3777 	EXP 	Fixation: autoDraw = False
85.6602 	EXP 	grating: autoDraw = False
86.2642 	EXP 	New trial (rep=27, index=0): None
86.2662 	DATA 	Keypress: up
86.2763 	EXP 	Fixation: autoDraw = False
86.2763 	EXP 	grating: autoDraw = False
86.2763 	EXP 	grating: ori = 2.0
86.2763 	EXP 	Fixation: autoDraw = True
87.2753 	EXP 	grating: autoDraw = True
87.2920 	EXP 	Fixation: autoDraw = False
87.5751 	EXP 	grating: autoDraw = False
88.0944 	EXP 	New trial (rep=28, index=0): None
88.0958 	DATA 	Keypress: up
88.1077 	EXP 	Fixation: autoDraw = False
88.1077 	EXP 	grating: autoDraw = False
88.1077 	EXP 	grating: ori = 0.0
88.1077 	EXP 	Fixation: autoDraw = True
89.1070 	EXP 	Fixation: autoDraw = False
89.1070 	EXP 	grating: autoDraw = True
89.4065 	EXP 	grating: autoDraw = False
90.1421 	EXP 	New trial (rep=29, index=0): None
90.1434 	DATA 	Keypress: up
90.1558 	EXP 	Fixation: autoDraw = False
90.1558 	EXP 	grating: autoDraw = False
90.1558 	EXP 	grating: ori = -1.0
90.1558 	EXP 	Fixation: autoDraw = True
91.1552 	EXP 	grating: autoDraw = True
91.1715 	EXP 	Fixation: autoDraw = False
91.4548 	EXP 	grating: autoDraw = False
91.8400 	EXP 	New trial (rep=30, index=0): None
91.8408 	DATA 	Keypress: up
91.8544 	EXP 	Fixation: autoDraw = False
91.8544 	EXP 	grating: autoDraw = False
91.8544 	EXP 	grating: ori = 0.0
91.8544 	EXP 	Fixation: autoDraw = True
92.8531 	EXP 	grating: autoDraw = True
92.8700 	EXP 	Fixation: autoDraw = False
93.1528 	EXP 	grating: autoDraw = False
93.6876 	EXP 	New trial (rep=31, index=0): None
93.6884 	DATA 	Keypress: up
93.7025 	EXP 	Fixation: autoDraw = False
93.7025 	EXP 	grating: autoDraw = False
93.7025 	EXP 	grating: ori = -3.0
93.7025 	EXP 	Fixation: autoDraw = True
94.7016 	EXP 	grating: autoDraw = True
94.7181 	EXP 	Fixation: autoDraw = False
95.0009 	EXP 	grating: autoDraw = False
